original_X,original_Y,distance,formatted,lat,lon,street,housenumber,postcode,city,district,suburb,name,county_code,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
93.7136636485752,7.21837843958436,0,"Great Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.8102915511552,7.00040101914306,0,"Great Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.8409047395075,7.28800133438201,519.8639897845558,"Kabra Island, Great Nicobar, India",7.2883059,93.84560805081603,,,,,,,Kabra Island,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.7674700957796,7.39876602839973,0,"Great Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6887961813139,7.4026924798925,0,"Great Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6887788999182,7.34429788911492,0,"Great Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6486108631319,7.47305589207001,0,"Great Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6331615291418,7.47803626178096,0,"Great Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Great Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.5460300147279,7.5178291000939,0,"Nicobar, India",7.0000167,93.8110528187756,,,,,,,,,Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.380245998318,7.94904624313629,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.5481374991974,7.97884936321901,3540.607347091558,"Nancowry, India",8.0029483,93.569153,,,,Nancowry,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.5855175116283,8.08176536419591,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.4954135201547,8.11568014812712,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.234654419887,8.24318265920302,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.1065763963884,8.27452397496184,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6421152822717,8.39392033056259,0,India,22.3511148,78.6677428,,,,,,,,,,,,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6506800252412,8.39192254344939,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6349324295816,8.3968050401949,0,India,22.3511148,78.6677428,,,,,,,,,,,,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.0461996876478,8.45584500994481,22.60555831559851,"Nancowry, India",8.459049324705342,93.0441430645088,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.6307021272913,8.49934301817767,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93.608061792574,8.58061190538784,0,"Nancowry, India",7.9483741000000006,93.40471351851161,,,,,,,,,Nancowry,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.7732225710488,9.18775781812042,0,"Car Nicobar, India",9.187057,92.7730136148387,,,,,,,,,Car Nicobar,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.4889357843732,10.7043474152808,0,"744207, AN, India",10.7056905,92.48746789633373,,,744207,,,,,,Little Andaman,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.6135182010252,10.9330663708438,0,"744207, AN, India",10.7056905,92.48746789633373,,,744207,,,,,,Little Andaman,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.2215572895604,10.9780169441171,0,"744207, AN, India",10.7056905,92.48746789633373,,,744207,,,,,,Little Andaman,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.6643105890709,10.987876368854,0,"744207, AN, India",10.7056905,92.48746789633373,,,744207,,,,,,Little Andaman,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.7244176946011,11.1428313034244,0,"Port Blair Tehsil, India",11.43156055,92.65179201695375,,,,,,,,,Port Blair Tehsil,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.7311790881677,11.1458027631177,0,"Port Blair Tehsil, India",11.43156055,92.65179201695375,,,,,,,,,Port Blair Tehsil,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.6759086804441,11.1839815411709,0,"Port Blair Tehsil, India",11.43156055,92.65179201695375,,,,,,,,,Port Blair Tehsil,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.7008547583701,11.2661427042277,0,"Port Blair Tehsil, India",11.43156055,92.65179201695375,,,,,,,,,Port Blair Tehsil,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.7196899946316,11.3175234587276,0,"Port Blair Tehsil, India",11.43156055,92.65179201695375,,,,,,,,,Port Blair Tehsil,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92.5487065498194,11.395812665309,0,"Port Blair Tehsil, India",11.43156055,92.65179201695375,,,,,,,,,Port Blair Tehsil,Andaman and Nicobar Islands,AN,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
